الرياض;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
شوال;49;11;60;32;28;60;5;10;17;9;19;60;35;25;60
ذى القعدة;36;6;42;16;26;42;4;10;10;2;16;42;25;17;42
ذى الحجة;48;11;59;25;34;59;3;8;7;10;31;59;31;28;59
المجموع;503;106;609;208;401;609;47;125;108;98;231;609;362;247;609
الـقـريات -عــد د الأشخاص المتوفين حـسب الجـنس;;عدد الأشخاص المتوفين حسب الجنس;;عــد د الأشخاص المتوفين حـسب المكان;;;عــد د الأشخاص المتوفين حسب العمر;;;;;;عــد د الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكـور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
صفر;12;1;13;3;10;13;3;6;3;1;0;13;12;1;13
ربيع أول;8;1;9;1;8;9;1;5;2;1;0;9;7;2;9
ربيع ثانى;2;0;2;1;1;2;0;1;0;0;1;2;2;0;2
جمادى أول;4;0;4;1;3;4;0;1;1;0;2;4;4;0;4
جمادى ثانى;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
رجب;5;0;5;2;3;5;3;1;0;1;0;5;4;1;5
شعبان;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
رمضان;5;3;8;0;8;8;1;3;1;0;3;8;3;5;8
شوال;1;1;2;0;2;2;1;0;1;0;0;2;2;0;2
ذى القعدة;4;0;4;0;4;4;0;3;0;0;1;4;4;0;4
ذى الحجة;6;2;8;0;8;8;2;2;1;2;1;8;7;1;8
المجموع;47;8;55;8;47;55;11;22;9;5;8;55;45;10;55
اجمالي عــد د الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب الجنس;;عـــد د الأشخاص المتوفين حسب المكان;;;عـــــــــــــــد  د الأشخاص المتوفين حسب العمر;;;;;;عـد د الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكــور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;480;66;546;192;354;546;58;193;139;80;76;546;324;222;546
صفر;512;44;556;197;359;556;74;191;132;78;81;556;330;226;556
ربيع أول;482;65;547;178;369;547;76;155;130;84;102;547;352;195;547
ربيع ثانى;481;62;543;163;380;543;92;168;124;71;88;543;358;185;543
جمادى أول;408;42;450;166;284;450;62;144;102;69;73;450;277;173;450
جمادى ثانى;392;47;439;152;287;439;78;131;95;62;73;439;275;164;439
رجب;388;60;448;152;296;448;66;135;123;51;73;448;270;178;448
شعبان;411;54;465;151;314;465;65;161;118;54;67;465;307;158;465
رمضان;511;73;584;171;413;584;73;194;131;90;96;584;311;273;584
شوال;436;108;544;186;358;544;79;184;138;74;69;544;337;207;544
ذى القعدة;360;53;413;113;300;413;55;141;101;47;69;413;239;174;413
ذى الحجة;434;56;490;138;352;490;63;161;115;67;84;490;298;192;490
المجموع;5295;730;6025;1959;4066;6025;841;1958;1448;827;951;6025;3678;2347;6025
;;;;;;;;;;;;;;;
