الرياض;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
ربيع ثانى;81;14;95;14;81;95;7;19;23;15;31;95;61;34;95
جمادى أول;60;7;67;12;55;67;8;18;8;7;26;67;43;24;67
جمادى ثانى;57;12;69;10;59;69;9;17;15;6;22;69;40;29;69
رجب;53;18;71;17;54;71;10;8;11;8;34;71;40;31;71
شعبان;60;5;65;16;49;65;4;14;13;4;30;65;38;27;65
رمضان;102;32;134;28;106;134;10;20;18;22;64;134;65;69;134
شوال;72;14;86;11;75;86;9;24;23;16;14;86;33;53;86
ذى القعدة;63;8;71;27;44;71;6;15;18;5;27;71;37;34;71
ذى الحجة;57;8;65;26;39;65;0;16;9;5;35;65;26;39;65
المجموع;823;146;969;204;765;969;89;213;155;99;413;969;551;418;969
القريات;; عدد الأشخاص المتوفين حسب الجنس;;عــد د الأشخاص المتوفين حـسب المكان;;;عــد د الأشخاص المتوفين حسب العمر;;;;;;عــد د الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكـور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;5;0;5;1;4;5;0;2;1;0;2;5;4;1;5
صفر;8;5;13;1;12;13;6;4;2;0;1;13;10;3;13
ربيع أول;4;0;4;0;4;4;0;2;1;0;1;4;3;1;4
ربيع ثانى;5;0;5;1;4;5;0;2;2;0;1;5;4;1;5
جمادى أول;7;0;7;3;4;7;3;2;1;0;1;7;6;1;7
جمادى ثانى;3;0;3;1;2;3;0;3;0;0;0;3;3;0;3
رجب;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
شعبان;5;3;8;4;4;8;3;1;3;1;0;8;7;1;8
رمضان;8;0;8;3;5;8;5;0;3;0;0;8;4;4;8
شوال;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1
ذى القعدة;4;1;5;3;2;5;1;1;2;0;1;5;5;0;5
ذى الحجة;10;0;10;2;8;10;1;6;1;0;2;10;10;0;10
المجموع;60;9;69;20;49;69;19;24;16;1;9;69;57;12;69
إجمالي عــد د الأشخاص;; عدد الأشخاص المتوفين حسب الجنس;;إجمالي- عــد د الأشخاص المتوفين حـسب المكان;;;إجمالي عـــــــــــــــد  د الأشخاص المتوفين حسب العمر;;;;;;إجمالي عـد د الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكــور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;655;79;734;272;462;734;91;222;177;106;138;734;474;260;734
صفر;647;86;733;244;489;733;95;234;206;89;109;733;450;283;733
ربيع أول;652;73;725;234;491;725;99;248;179;73;126;725;448;277;725
ربيع ثانى;681;89;770;233;537;770;109;256;192;110;103;770;477;293;770
جمادى أول;604;87;691;224;467;691;94;229;156;101;111;691;399;292;691
جمادى ثانى;677;110;787;216;571;787;112;267;190;125;93;787;472;315;787
رجب;640;96;736;230;506;736;117;231;187;89;112;736;436;300;736
شعبان;591;83;674;192;482;674;96;205;187;83;103;674;410;264;674
رمضان;810;155;965;259;706;965;136;251;239;143;196;965;521;444;965
شوال;645;84;729;226;503;729;98;228;194;117;92;729;368;361;729
ذى القعدة;625;95;720;232;488;720;98;217;182;118;105;720;446;274;720
ذى الحجة;673;94;767;246;521;767;109;228;215;91;124;767;436;331;767
المجموع;7900;1131;9031;2808;6223;9031;1254;2816;2304;1245;1412;9031;5337;3694;9031
;;;;;;;;;;;;;;;
